"","Cohort","Population","Sample"
"607","EUR","GBR","HG00096"
"608","EUR","GBR","HG00097"
"609","EUR","GBR","HG00099"
"610","EUR","GBR","HG00100"
"611","EUR","GBR","HG00101"
"612","EUR","GBR","HG00102"
"613","EUR","GBR","HG00103"
"614","EUR","GBR","HG00105"
"615","EUR","GBR","HG00106"
"616","EUR","GBR","HG00107"
"617","EUR","GBR","HG00108"
"618","EUR","GBR","HG00109"
"619","EUR","GBR","HG00110"
"620","EUR","GBR","HG00111"
"621","EUR","GBR","HG00112"
"622","EUR","GBR","HG00113"
"623","EUR","GBR","HG00114"
"624","EUR","GBR","HG00115"
"625","EUR","GBR","HG00116"
"626","EUR","GBR","HG00117"
"627","EUR","GBR","HG00118"
"628","EUR","GBR","HG00119"
"629","EUR","GBR","HG00120"
"630","EUR","GBR","HG00121"
"631","EUR","GBR","HG00122"
"632","EUR","GBR","HG00123"
"633","EUR","GBR","HG00125"
"634","EUR","GBR","HG00126"
"635","EUR","GBR","HG00127"
"636","EUR","GBR","HG00128"
"637","EUR","GBR","HG00129"
"638","EUR","GBR","HG00130"
"639","EUR","GBR","HG00131"
"640","EUR","GBR","HG00132"
"641","EUR","GBR","HG00133"
"642","EUR","GBR","HG00136"
"643","EUR","GBR","HG00137"
"644","EUR","GBR","HG00138"
"645","EUR","GBR","HG00139"
"646","EUR","GBR","HG00140"
"647","EUR","GBR","HG00141"
"648","EUR","GBR","HG00142"
"649","EUR","GBR","HG00143"
"650","EUR","GBR","HG00145"
"651","EUR","GBR","HG00146"
"652","EUR","GBR","HG00148"
"653","EUR","GBR","HG00149"
"654","EUR","GBR","HG00150"
"655","EUR","GBR","HG00151"
"656","EUR","GBR","HG00154"
"657","EUR","GBR","HG00155"
"658","EUR","GBR","HG00157"
"659","EUR","GBR","HG00158"
"660","EUR","GBR","HG00159"
"661","EUR","GBR","HG00160"
"662","EUR","FIN","HG00171"
"663","EUR","FIN","HG00173"
"664","EUR","FIN","HG00174"
"665","EUR","FIN","HG00176"
"666","EUR","FIN","HG00177"
"667","EUR","FIN","HG00178"
"668","EUR","FIN","HG00179"
"669","EUR","FIN","HG00180"
"670","EUR","FIN","HG00181"
"671","EUR","FIN","HG00182"
"672","EUR","FIN","HG00183"
"673","EUR","FIN","HG00185"
"674","EUR","FIN","HG00186"
"675","EUR","FIN","HG00187"
"676","EUR","FIN","HG00188"
"677","EUR","FIN","HG00189"
"678","EUR","FIN","HG00190"
"679","EUR","GBR","HG00231"
"680","EUR","GBR","HG00232"
"681","EUR","GBR","HG00233"
"682","EUR","GBR","HG00234"
"683","EUR","GBR","HG00235"
"684","EUR","GBR","HG00236"
"685","EUR","GBR","HG00237"
"686","EUR","GBR","HG00238"
"687","EUR","GBR","HG00239"
"688","EUR","GBR","HG00240"
"689","EUR","GBR","HG00242"
"690","EUR","GBR","HG00243"
"691","EUR","GBR","HG00244"
"692","EUR","GBR","HG00245"
"693","EUR","GBR","HG00246"
"694","EUR","GBR","HG00250"
"695","EUR","GBR","HG00251"
"696","EUR","GBR","HG00252"
"697","EUR","GBR","HG00253"
"698","EUR","GBR","HG00254"
"699","EUR","GBR","HG00255"
"700","EUR","GBR","HG00256"
"701","EUR","GBR","HG00257"
"702","EUR","GBR","HG00258"
"703","EUR","GBR","HG00259"
"704","EUR","GBR","HG00260"
"705","EUR","GBR","HG00261"
"706","EUR","GBR","HG00262"
"707","EUR","GBR","HG00263"
"708","EUR","GBR","HG00264"
"709","EUR","GBR","HG00265"
"710","EUR","FIN","HG00266"
"711","EUR","FIN","HG00267"
"712","EUR","FIN","HG00268"
"713","EUR","FIN","HG00269"
"714","EUR","FIN","HG00271"
"715","EUR","FIN","HG00272"
"716","EUR","FIN","HG00273"
"717","EUR","FIN","HG00274"
"718","EUR","FIN","HG00275"
"719","EUR","FIN","HG00276"
"720","EUR","FIN","HG00277"
"721","EUR","FIN","HG00278"
"722","EUR","FIN","HG00280"
"723","EUR","FIN","HG00281"
"724","EUR","FIN","HG00282"
"725","EUR","FIN","HG00284"
"726","EUR","FIN","HG00285"
"727","EUR","FIN","HG00288"
"728","EUR","FIN","HG00290"
"729","EUR","FIN","HG00304"
"730","EUR","FIN","HG00306"
"731","EUR","FIN","HG00308"
"732","EUR","FIN","HG00309"
"733","EUR","FIN","HG00310"
"734","EUR","FIN","HG00311"
"735","EUR","FIN","HG00313"
"736","EUR","FIN","HG00315"
"737","EUR","FIN","HG00318"
"738","EUR","FIN","HG00319"
"739","EUR","FIN","HG00320"
"740","EUR","FIN","HG00321"
"741","EUR","FIN","HG00323"
"742","EUR","FIN","HG00324"
"743","EUR","FIN","HG00325"
"744","EUR","FIN","HG00326"
"745","EUR","FIN","HG00327"
"746","EUR","FIN","HG00328"
"747","EUR","FIN","HG00329"
"748","EUR","FIN","HG00330"
"749","EUR","FIN","HG00331"
"750","EUR","FIN","HG00332"
"751","EUR","FIN","HG00334"
"752","EUR","FIN","HG00335"
"753","EUR","FIN","HG00336"
"754","EUR","FIN","HG00337"
"755","EUR","FIN","HG00338"
"756","EUR","FIN","HG00339"
"757","EUR","FIN","HG00341"
"758","EUR","FIN","HG00342"
"759","EUR","FIN","HG00343"
"760","EUR","FIN","HG00344"
"761","EUR","FIN","HG00345"
"762","EUR","FIN","HG00346"
"763","EUR","FIN","HG00349"
"764","EUR","FIN","HG00350"
"765","EUR","FIN","HG00351"
"766","EUR","FIN","HG00353"
"767","EUR","FIN","HG00355"
"768","EUR","FIN","HG00356"
"769","EUR","FIN","HG00357"
"770","EUR","FIN","HG00358"
"771","EUR","FIN","HG00360"
"772","EUR","FIN","HG00361"
"773","EUR","FIN","HG00362"
"774","EUR","FIN","HG00364"
"775","EUR","FIN","HG00365"
"776","EUR","FIN","HG00366"
"777","EUR","FIN","HG00367"
"778","EUR","FIN","HG00368"
"779","EUR","FIN","HG00369"
"780","EUR","FIN","HG00371"
"781","EUR","FIN","HG00372"
"782","EUR","FIN","HG00373"
"783","EUR","FIN","HG00375"
"784","EUR","FIN","HG00376"
"785","EUR","FIN","HG00378"
"786","EUR","FIN","HG00379"
"787","EUR","FIN","HG00380"
"788","EUR","FIN","HG00381"
"789","EUR","FIN","HG00382"
"790","EUR","FIN","HG00383"
"791","EUR","FIN","HG00384"
"792","EAS","CHS","HG00403"
"793","EAS","CHS","HG00404"
"794","EAS","CHS","HG00406"
"795","EAS","CHS","HG00407"
"796","EAS","CHS","HG00409"
"797","EAS","CHS","HG00410"
"798","EAS","CHS","HG00419"
"799","EAS","CHS","HG00421"
"800","EAS","CHS","HG00422"
"801","EAS","CHS","HG00428"
"802","EAS","CHS","HG00436"
"803","EAS","CHS","HG00437"
"804","EAS","CHS","HG00442"
"805","EAS","CHS","HG00443"
"806","EAS","CHS","HG00445"
"807","EAS","CHS","HG00446"
"808","EAS","CHS","HG00448"
"809","EAS","CHS","HG00449"
"810","EAS","CHS","HG00451"
"811","EAS","CHS","HG00452"
"812","EAS","CHS","HG00457"
"813","EAS","CHS","HG00458"
"814","EAS","CHS","HG00463"
"815","EAS","CHS","HG00464"
"816","EAS","CHS","HG00472"
"817","EAS","CHS","HG00473"
"818","EAS","CHS","HG00475"
"819","EAS","CHS","HG00476"
"820","EAS","CHS","HG00478"
"821","EAS","CHS","HG00479"
"822","EAS","CHS","HG00500"
"823","EAS","CHS","HG00513"
"824","EAS","CHS","HG00524"
"825","EAS","CHS","HG00525"
"826","EAS","CHS","HG00530"
"827","EAS","CHS","HG00531"
"828","EAS","CHS","HG00533"
"829","EAS","CHS","HG00534"
"830","EAS","CHS","HG00536"
"831","EAS","CHS","HG00537"
"832","EAS","CHS","HG00542"
"833","EAS","CHS","HG00543"
"834","AMR","PUR","HG00551"
"835","AMR","PUR","HG00553"
"836","AMR","PUR","HG00554"
"837","EAS","CHS","HG00556"
"838","EAS","CHS","HG00557"
"839","EAS","CHS","HG00559"
"840","EAS","CHS","HG00560"
"841","EAS","CHS","HG00565"
"842","EAS","CHS","HG00566"
"843","EAS","CHS","HG00580"
"844","EAS","CHS","HG00581"
"845","EAS","CHS","HG00583"
"846","EAS","CHS","HG00584"
"847","EAS","CHS","HG00589"
"848","EAS","CHS","HG00590"
"849","EAS","CHS","HG00592"
"850","EAS","CHS","HG00593"
"851","EAS","CHS","HG00595"
"852","EAS","CHS","HG00596"
"853","EAS","CHS","HG00598"
"854","EAS","CHS","HG00599"
"855","EAS","CHS","HG00607"
"856","EAS","CHS","HG00608"
"857","EAS","CHS","HG00610"
"858","EAS","CHS","HG00611"
"859","EAS","CHS","HG00613"
"860","EAS","CHS","HG00614"
"861","EAS","CHS","HG00619"
"862","EAS","CHS","HG00620"
"863","EAS","CHS","HG00622"
"864","EAS","CHS","HG00623"
"865","EAS","CHS","HG00625"
"866","EAS","CHS","HG00626"
"867","EAS","CHS","HG00628"
"868","EAS","CHS","HG00629"
"869","EAS","CHS","HG00631"
"870","EAS","CHS","HG00632"
"871","EAS","CHS","HG00634"
"872","AMR","PUR","HG00637"
"873","AMR","PUR","HG00638"
"874","AMR","PUR","HG00640"
"875","AMR","PUR","HG00641"
"876","EAS","CHS","HG00650"
"877","EAS","CHS","HG00651"
"878","EAS","CHS","HG00653"
"879","EAS","CHS","HG00654"
"880","EAS","CHS","HG00656"
"881","EAS","CHS","HG00657"
"882","EAS","CHS","HG00662"
"883","EAS","CHS","HG00663"
"884","EAS","CHS","HG00671"
"885","EAS","CHS","HG00672"
"886","EAS","CHS","HG00674"
"887","EAS","CHS","HG00675"
"888","EAS","CHS","HG00683"
"889","EAS","CHS","HG00684"
"890","EAS","CHS","HG00689"
"891","EAS","CHS","HG00690"
"892","EAS","CHS","HG00692"
"893","EAS","CHS","HG00693"
"894","EAS","CHS","HG00698"
"895","EAS","CHS","HG00699"
"896","EAS","CHS","HG00701"
"897","EAS","CHS","HG00704"
"898","EAS","CHS","HG00705"
"899","EAS","CHS","HG00707"
"900","EAS","CHS","HG00708"
"901","EAS","CHS","HG00717"
"902","EAS","CHS","HG00728"
"903","EAS","CHS","HG00729"
"904","AMR","PUR","HG00731"
"905","AMR","PUR","HG00732"
"906","AMR","PUR","HG00734"
"907","AMR","PUR","HG00736"
"908","AMR","PUR","HG00737"
"909","AMR","PUR","HG00739"
"910","AMR","PUR","HG00740"
"911","AMR","PUR","HG00742"
"912","AMR","PUR","HG00743"
"913","EAS","CDX","HG00759"
"914","EAS","CDX","HG00766"
"915","EAS","CDX","HG00844"
"916","EAS","CDX","HG00851"
"917","EAS","CDX","HG00864"
"918","EAS","CDX","HG00867"
"919","EAS","CDX","HG00879"
"920","EAS","CDX","HG00881"
"921","EAS","CDX","HG00956"
"922","EAS","CDX","HG00978"
"923","EAS","CDX","HG00982"
"924","EAS","CDX","HG01028"
"925","EAS","CDX","HG01029"
"926","EAS","CDX","HG01031"
"927","EAS","CDX","HG01046"
"928","AMR","PUR","HG01047"
"929","AMR","PUR","HG01048"
"930","AMR","PUR","HG01049"
"931","AMR","PUR","HG01051"
"932","AMR","PUR","HG01052"
"933","AMR","PUR","HG01054"
"934","AMR","PUR","HG01055"
"935","AMR","PUR","HG01058"
"936","AMR","PUR","HG01060"
"937","AMR","PUR","HG01061"
"938","AMR","PUR","HG01063"
"939","AMR","PUR","HG01064"
"940","AMR","PUR","HG01066"
"941","AMR","PUR","HG01067"
"942","AMR","PUR","HG01069"
"943","AMR","PUR","HG01070"
"944","AMR","PUR","HG01072"
"945","AMR","PUR","HG01073"
"946","AMR","PUR","HG01075"
"947","AMR","PUR","HG01077"
"948","AMR","PUR","HG01079"
"949","AMR","PUR","HG01080"
"950","AMR","PUR","HG01082"
"951","AMR","PUR","HG01083"
"952","AMR","PUR","HG01085"
"953","AMR","PUR","HG01086"
"954","AMR","PUR","HG01088"
"955","AMR","PUR","HG01089"
"956","AMR","PUR","HG01092"
"957","AMR","PUR","HG01094"
"958","AMR","PUR","HG01095"
"959","AMR","PUR","HG01097"
"960","AMR","PUR","HG01098"
"961","AMR","PUR","HG01101"
"962","AMR","PUR","HG01102"
"963","AMR","PUR","HG01104"
"964","AMR","PUR","HG01105"
"965","AMR","PUR","HG01107"
"966","AMR","PUR","HG01108"
"967","AMR","PUR","HG01110"
"968","AMR","PUR","HG01111"
"969","AMR","CLM","HG01112"
"970","AMR","CLM","HG01113"
"971","AMR","CLM","HG01119"
"972","AMR","CLM","HG01121"
"973","AMR","CLM","HG01122"
"974","AMR","CLM","HG01124"
"975","AMR","CLM","HG01125"
"976","AMR","CLM","HG01130"
"977","AMR","CLM","HG01131"
"978","AMR","CLM","HG01133"
"979","AMR","CLM","HG01134"
"980","AMR","CLM","HG01136"
"981","AMR","CLM","HG01137"
"982","AMR","CLM","HG01139"
"983","AMR","CLM","HG01140"
"984","AMR","CLM","HG01142"
"985","AMR","CLM","HG01148"
"986","AMR","CLM","HG01149"
"987","AMR","PUR","HG01161"
"988","AMR","PUR","HG01162"
"989","AMR","PUR","HG01164"
"990","AMR","PUR","HG01167"
"991","AMR","PUR","HG01168"
"992","AMR","PUR","HG01170"
"993","AMR","PUR","HG01171"
"994","AMR","PUR","HG01173"
"995","AMR","PUR","HG01174"
"996","AMR","PUR","HG01176"
"997","AMR","PUR","HG01177"
"998","AMR","PUR","HG01182"
"999","AMR","PUR","HG01183"
"1000","AMR","PUR","HG01187"
"1001","AMR","PUR","HG01188"
"1002","AMR","PUR","HG01190"
"1003","AMR","PUR","HG01191"
"1004","AMR","PUR","HG01197"
"1005","AMR","PUR","HG01198"
"1006","AMR","PUR","HG01200"
"1007","AMR","PUR","HG01204"
"1008","AMR","PUR","HG01205"
"1009","AMR","PUR","HG01241"
"1010","AMR","PUR","HG01242"
"1011","AMR","PUR","HG01247"
"1012","AMR","PUR","HG01248"
"1013","AMR","CLM","HG01250"
"1014","AMR","CLM","HG01251"
"1015","AMR","CLM","HG01253"
"1016","AMR","CLM","HG01254"
"1017","AMR","CLM","HG01256"
"1018","AMR","CLM","HG01257"
"1019","AMR","CLM","HG01259"
"1020","AMR","CLM","HG01260"
"1021","AMR","CLM","HG01269"
"1022","AMR","CLM","HG01271"
"1023","AMR","CLM","HG01272"
"1024","AMR","CLM","HG01275"
"1025","AMR","CLM","HG01277"
"1026","AMR","CLM","HG01280"
"1027","AMR","CLM","HG01281"
"1028","AMR","CLM","HG01284"
"1029","AMR","PUR","HG01286"
"1030","AMR","PUR","HG01302"
"1031","AMR","PUR","HG01303"
"1032","AMR","PUR","HG01305"
"1033","AMR","PUR","HG01308"
"1034","AMR","PUR","HG01311"
"1035","AMR","PUR","HG01312"
"1036","AMR","PUR","HG01323"
"1037","AMR","PUR","HG01325"
"1038","AMR","PUR","HG01326"
"1039","EUR","GBR","HG01334"
"1040","AMR","CLM","HG01341"
"1041","AMR","CLM","HG01342"
"1042","AMR","CLM","HG01344"
"1043","AMR","CLM","HG01345"
"1044","AMR","CLM","HG01348"
"1045","AMR","CLM","HG01350"
"1046","AMR","CLM","HG01351"
"1047","AMR","CLM","HG01353"
"1048","AMR","CLM","HG01354"
"1049","AMR","CLM","HG01356"
"1050","AMR","CLM","HG01357"
"1051","AMR","CLM","HG01359"
"1052","AMR","CLM","HG01360"
"1053","AMR","CLM","HG01362"
"1054","AMR","CLM","HG01363"
"1055","AMR","CLM","HG01365"
"1056","AMR","CLM","HG01366"
"1057","AMR","CLM","HG01369"
"1058","AMR","CLM","HG01372"
"1059","AMR","CLM","HG01374"
"1060","AMR","CLM","HG01375"
"1061","AMR","CLM","HG01377"
"1062","AMR","CLM","HG01378"
"1063","AMR","CLM","HG01383"
"1064","AMR","CLM","HG01384"
"1065","AMR","CLM","HG01389"
"1066","AMR","CLM","HG01390"
"1067","AMR","PUR","HG01392"
"1068","AMR","PUR","HG01393"
"1069","AMR","PUR","HG01395"
"1070","AMR","PUR","HG01396"
"1071","AMR","PUR","HG01398"
"1072","AMR","PUR","HG01402"
"1073","AMR","PUR","HG01403"
"1074","AMR","PUR","HG01405"
"1075","AMR","PUR","HG01412"
"1076","AMR","PUR","HG01413"
"1077","AMR","PUR","HG01414"
"1078","AMR","CLM","HG01431"
"1079","AMR","CLM","HG01432"
"1080","AMR","CLM","HG01435"
"1081","AMR","CLM","HG01437"
"1082","AMR","CLM","HG01438"
"1083","AMR","CLM","HG01440"
"1084","AMR","CLM","HG01441"
"1085","AMR","CLM","HG01443"
"1086","AMR","CLM","HG01444"
"1087","AMR","CLM","HG01447"
"1088","AMR","CLM","HG01455"
"1089","AMR","CLM","HG01456"
"1090","AMR","CLM","HG01459"
"1091","AMR","CLM","HG01461"
"1092","AMR","CLM","HG01462"
"1093","AMR","CLM","HG01464"
"1094","AMR","CLM","HG01465"
"1095","AMR","CLM","HG01468"
"1096","AMR","CLM","HG01474"
"1097","AMR","CLM","HG01479"
"1098","AMR","CLM","HG01485"
"1099","AMR","CLM","HG01486"
"1100","AMR","CLM","HG01488"
"1101","AMR","CLM","HG01489"
"1102","AMR","CLM","HG01491"
"1103","AMR","CLM","HG01492"
"1104","AMR","CLM","HG01494"
"1105","AMR","CLM","HG01495"
"1106","AMR","CLM","HG01497"
"1107","AMR","CLM","HG01498"
"1108","EUR","IBS","HG01500"
"1109","EUR","IBS","HG01501"
"1110","EUR","IBS","HG01503"
"1111","EUR","IBS","HG01504"
"1112","EUR","IBS","HG01506"
"1113","EUR","IBS","HG01507"
"1114","EUR","IBS","HG01509"
"1115","EUR","IBS","HG01510"
"1116","EUR","IBS","HG01512"
"1117","EUR","IBS","HG01513"
"1118","EUR","IBS","HG01515"
"1119","EUR","IBS","HG01516"
"1120","EUR","IBS","HG01518"
"1121","EUR","IBS","HG01519"
"1122","EUR","IBS","HG01521"
"1123","EUR","IBS","HG01522"
"1124","EUR","IBS","HG01524"
"1125","EUR","IBS","HG01525"
"1126","EUR","IBS","HG01527"
"1127","EUR","IBS","HG01528"
"1128","EUR","IBS","HG01530"
"1129","EUR","IBS","HG01531"
"1130","EUR","IBS","HG01536"
"1131","EUR","IBS","HG01537"
"1132","AMR","CLM","HG01550"
"1133","AMR","CLM","HG01551"
"1134","AMR","CLM","HG01556"
"1135","AMR","PEL","HG01565"
"1136","AMR","PEL","HG01566"
"1137","AMR","PEL","HG01571"
"1138","AMR","PEL","HG01572"
"1139","AMR","PEL","HG01577"
"1140","AMR","PEL","HG01578"
"1141","SAS","PJL","HG01583"
"1142","SAS","PJL","HG01586"
"1143","SAS","PJL","HG01589"
"1144","SAS","PJL","HG01593"
"1145","EAS","KHV","HG01595"
"1146","EAS","KHV","HG01596"
"1147","EAS","KHV","HG01597"
"1148","EAS","KHV","HG01598"
"1149","EAS","KHV","HG01599"
"1150","EAS","KHV","HG01600"
"1151","EUR","IBS","HG01602"
"1152","EUR","IBS","HG01603"
"1153","EUR","IBS","HG01605"
"1154","EUR","IBS","HG01606"
"1155","EUR","IBS","HG01607"
"1156","EUR","IBS","HG01608"
"1157","EUR","IBS","HG01610"
"1158","EUR","IBS","HG01612"
"1159","EUR","IBS","HG01613"
"1160","EUR","IBS","HG01615"
"1161","EUR","IBS","HG01617"
"1162","EUR","IBS","HG01618"
"1163","EUR","IBS","HG01619"
"1164","EUR","IBS","HG01620"
"1165","EUR","IBS","HG01623"
"1166","EUR","IBS","HG01624"
"1167","EUR","IBS","HG01625"
"1168","EUR","IBS","HG01626"
"1169","EUR","IBS","HG01628"
"1170","EUR","IBS","HG01630"
"1171","EUR","IBS","HG01631"
"1172","EUR","IBS","HG01632"
"1173","EUR","IBS","HG01668"
"1174","EUR","IBS","HG01669"
"1175","EUR","IBS","HG01670"
"1176","EUR","IBS","HG01672"
"1177","EUR","IBS","HG01673"
"1178","EUR","IBS","HG01675"
"1179","EUR","IBS","HG01676"
"1180","EUR","IBS","HG01678"
"1181","EUR","IBS","HG01679"
"1182","EUR","IBS","HG01680"
"1183","EUR","IBS","HG01682"
"1184","EUR","IBS","HG01684"
"1185","EUR","IBS","HG01685"
"1186","EUR","IBS","HG01686"
"1187","EUR","IBS","HG01694"
"1188","EUR","IBS","HG01695"
"1189","EUR","IBS","HG01697"
"1190","EUR","IBS","HG01699"
"1191","EUR","IBS","HG01700"
"1192","EUR","IBS","HG01702"
"1193","EUR","IBS","HG01704"
"1194","EUR","IBS","HG01705"
"1195","EUR","IBS","HG01707"
"1196","EUR","IBS","HG01708"
"1197","EUR","IBS","HG01709"
"1198","EUR","IBS","HG01710"
"1199","EUR","IBS","HG01746"
"1200","EUR","IBS","HG01747"
"1201","EUR","IBS","HG01756"
"1202","EUR","IBS","HG01757"
"1203","EUR","IBS","HG01761"
"1204","EUR","IBS","HG01762"
"1205","EUR","IBS","HG01765"
"1206","EUR","IBS","HG01766"
"1207","EUR","IBS","HG01767"
"1208","EUR","IBS","HG01768"
"1209","EUR","IBS","HG01770"
"1210","EUR","IBS","HG01771"
"1211","EUR","IBS","HG01773"
"1212","EUR","IBS","HG01775"
"1213","EUR","IBS","HG01776"
"1214","EUR","IBS","HG01777"
"1215","EUR","IBS","HG01779"
"1216","EUR","IBS","HG01781"
"1217","EUR","IBS","HG01783"
"1218","EUR","IBS","HG01784"
"1219","EUR","IBS","HG01785"
"1220","EUR","IBS","HG01786"
"1221","EUR","GBR","HG01789"
"1222","EUR","GBR","HG01790"
"1223","EUR","GBR","HG01791"
"1224","EAS","CDX","HG01794"
"1225","EAS","CDX","HG01795"
"1226","EAS","CDX","HG01796"
"1227","EAS","CDX","HG01797"
"1228","EAS","CDX","HG01798"
"1229","EAS","CDX","HG01799"
"1230","EAS","CDX","HG01800"
"1231","EAS","CDX","HG01801"
"1232","EAS","CDX","HG01802"
"1233","EAS","CDX","HG01804"
"1234","EAS","CDX","HG01805"
"1235","EAS","CDX","HG01806"
"1236","EAS","CDX","HG01807"
"1237","EAS","CDX","HG01808"
"1238","EAS","CDX","HG01809"
"1239","EAS","CDX","HG01810"
"1240","EAS","CDX","HG01811"
"1241","EAS","CDX","HG01812"
